"|","|__i","|__lc","|__m","|__n","|__ri","|__rm","|__rn","|__sc","|__t","|__time"
"1531864321862","107213771267504060727","1","1st local location (sent from Ulhas Nagar Stn.)","Shivnath Yadav","","","","","18 Jul 03:22 AM","1531864321862"
"1531865539722","107258285307051779831","1","i was trapd in kalwa station plz help me go to home curry rood station plz (sent from Kalva Stn.)","Pravin Yadav","","","","","18 Jul 03:42 AM","1531865539722"
"1531865795518","107258285307051779831","1","मे खूब डर गया हु plz मेरी मदत करो  (sent from Kalva Stn.)","Pravin Yadav","","","","1","18 Jul 03:46 AM","1531865795518"
"1531868855390","103316940391352956176","","what happened","Mrs. deshpande","","","","","18 Jul 04:37 AM","1531868855390"
"1531868997722","109685162791724133107","","which platform up ya dawn (sent from Ambivli Stn.)","Sharad Savaratkar","","","","1","18 Jul 04:39 AM","1531868997722"
"1531869430298","103316940391352956176","","will u plz tell us something","Mrs. deshpande","107258285307051779831","मे खूब डर गया हु plz मेरी मदत करो  (sent from Kalva Stn.)","Pravin Yadav","","18 Jul 04:47 AM","1531869430298"
"1531869500014","107258285307051779831","1","sir i got trian mumbail cst in kalva station... (sent from Thane Stn.)","Pravin Yadav","","","","","18 Jul 04:48 AM","1531869500014"
"1531869604342","107258285307051779831","","muje 4.... 5..... gaddulone gher liya tha isliye mene msg dala (sent from Thane Stn.)","Pravin Yadav","","","","","18 Jul 04:50 AM","1531869604342"
"1531870008294","113189562971947973965","","is train running on time from ambernath to cst","LOKESH VERMA","","","","","18 Jul 04:56 AM","1531870008294"
"1531870019910","113189562971947973965","","PLEASE update","LOKESH VERMA","","","","","18 Jul 04:56 AM","1531870019910"
"1531870359786","107258285307051779831","","sir i am successfully got a csmt trian  (sent from Kanjur Marg)","Pravin Yadav","","","","","18 Jul 05:02 AM","1531870359786"
"1531870386867","107258285307051779831","","sorry sir aaplogo ko meine pareshan kiya  (sent from Vikhroli Stn.)","Pravin Yadav","","","","","18 Jul 05:03 AM","1531870386867"
"1531870387292","113189562971947973965","2","ok","LOKESH VERMA","107258285307051779831","sir i am successfully got a csmt trian  (sent from Kanjur Marg)","Pravin Yadav","","18 Jul 05:03 AM","1531870387292"
"1531870489030","108134290718269859700","1","Thane 5:00 karjat train nikal gyi kya pls update","Neeta Shrivas","","","","","18 Jul 05:04 AM","1531870489030"
"1531870529495","107258285307051779831","","sir me ek repute company me kam karta hu lekin aaj mere sat bahut bura huva muje jindgika sabk mil gaya hen (sent from Vikhroli Stn.)","Pravin Yadav","","","","","18 Jul 05:05 AM","1531870529495"
"1531871727419","109843317059213686555","","many to pune","najju kazi","","","","","18 Jul 05:25 AM","1531871727419"
"1531872228519","105312598801707642948","","5:33 cst fast kidhar hai (sent from Vithalwadi Stn.)","ROHIT DEKHANE","","","","","18 Jul 05:33 AM","1531872228519"
